"","x"
"1","Tinggi"
"2","Tinggi"
"3","Tinggi"
"4","Tinggi"
"5","Tinggi"
"6","Tinggi"
"7","Tinggi"
"8","Tinggi"
"9","Tinggi"
"10","Tinggi"
"11","Tinggi"
"12","Tinggi"
"13","Tinggi"
"14","Tinggi"
"15","Tinggi"
"16","Tinggi"
"17","Tinggi"
"18","Tinggi"
"19","Tinggi"
"20","Tinggi"
"21","Tinggi"
"22","Tinggi"
"23","Tinggi"
"24","Tinggi"
"25","Tinggi"
"26","Tinggi"
"27","Tinggi"
"28","Tinggi"
"29","Tinggi"
"30","Tinggi"
"31","Tinggi"
"32","Tinggi"
"33","Tinggi"
"34","Tinggi"
"35","Tinggi"
"36","Tinggi"
"37","Tinggi"
"38","Tinggi"
"39","Tinggi"
"40","Tinggi"
"41","Tinggi"
"42","Tinggi"
"43","Tinggi"
"44","Tinggi"
"45","Tinggi"
"46","Tinggi"
"47","Tinggi"
"48","Tinggi"
"49","Tinggi"
"50","Tinggi"
"51","Tinggi"
"52","Tinggi"
"53","Tinggi"
"54","Tinggi"
"55","Tinggi"
"56","Tinggi"
"57","Tinggi"
"58","Tinggi"
"59","Tinggi"
"60","Tinggi"
"61","Tinggi"
"62","Tinggi"
"63","Tinggi"
"64","Tinggi"
"65","Tinggi"
"66","Tinggi"
"67","Tinggi"
"68","Tinggi"
"69","Tinggi"
"70","Tinggi"
"71","Tinggi"
"72","Tinggi"
"73","Tinggi"
"74","Tinggi"
"75","Tinggi"
"76","Tinggi"
"77","Tinggi"
"78","Tinggi"
"79","Tinggi"
"80","Tinggi"
"81","Tinggi"
"82","Tinggi"
"83","Tinggi"
"84","Tinggi"
"85","Tinggi"
"86","Tinggi"
"87","Tinggi"
"88","Tinggi"
"89","Tinggi"
"90","Tinggi"
"91","Tinggi"
"92","Tinggi"
"93","Tinggi"
"94","Tinggi"
"95","Tinggi"
"96","Tinggi"
"97","Tinggi"
"98","Tinggi"
"99","Tinggi"
"100","Tinggi"
"101","Tinggi"
"102","Tinggi"
"103","Tinggi"
"104","Tinggi"
"105","Tinggi"
"106","Tinggi"
"107","Tinggi"
"108","Tinggi"
"109","Tinggi"
"110","Tinggi"
"111","Tinggi"
"112","Tinggi"
"113","Tinggi"
"114","Tinggi"
"115","Tinggi"
"116","Tinggi"
"117","Tinggi"
"118","Tinggi"
"119","Tinggi"
"120","Tinggi"
"121","Tinggi"
"122","Tinggi"
"123","Tinggi"
"124","Tinggi"
