level_0,Latitude,Longitude,PlaceID,PlaceName
1372636853620000380,41.145345,-8.605889999999999,9,Batalha
1372636854620000520,41.142915,-8.607996,9,Batalha
1372636858620000589,41.154489,-8.630838,12,Bom Sucesso
1372636875620000233,41.157351,-8.60949,63,Santa Maria
1372636896620000360,41.169141,-8.636625,29,Francos
1372636951620000320,41.14053,-8.615969999999999,34,Infante
1372636956620000167,41.154363,-8.645607,36,Lordelo
1372636965620000231,41.160717,-8.578224,26,Corujeira
1372637072620000367,41.170599,-8.610552,42,Nove de Abril
1372637084620000285,41.138784,-8.566569,8,Azevedo
1372637091620000337,41.178087,-8.687268,22,Castelo do Queijo
1372637210620000456,41.142816,-8.603973,9,Batalha
1372637230620000503,41.164983,-8.641737,59,Tenente Valadim
1372637247620000067,41.147775,-8.611344,14,Câmara
1372637254620000657,41.181813,-8.601894,33,H. São João
1372637274620000403,41.16330900000001,-8.589402,56,Sá Carneiro
1372637299620000011,41.161554,-8.6247,51,Ramada Alta
1372637303620000596,41.170671,-8.66574,3,Aldoar
1372637343620000571,41.16226500000001,-8.575064999999999,26,Corujeira
1372637345620000589,41.1426,-8.647884,43,Ouro
1372637369620000381,41.151987,-8.613764999999999,52,Républica
1372637397620000190,41.177214,-8.559153,55,São Roque
1372637423620000341,41.186511,-8.652455999999999,46,Pereira de Melo
1372637453620000648,41.182056,-8.612748,5,Amial
1372637482620000005,41.169258,-8.584325999999999,24,Conde Ferreira
1372637610620000497,41.157522,-8.628147,13,Brasília
1372637658620000596,41.187816,-8.654337,47,Pereiró
1372637715620000398,41.164218,-8.623395,51,Ramada Alta
1372637721620000678,41.15754,-8.628255000000001,13,Brasília
1372637728620000671,41.154732,-8.604756,19,Carvalheiras
1372637754620000007,41.160285,-8.567235,55,São Roque
1372637905620000320,41.134158,-8.604594,9,Batalha
1372637915620000344,41.135562,-8.599644,61,Vinte e Quatro de Agosto
1372637926620000173,41.172831,-8.64081,29,Francos
1372637984620000520,41.164218,-8.623016999999999,51,Ramada Alta
1372638021620000256,41.187033,-8.550198,6,Areosa
1372638031620000171,41.164209,-8.613387,11,Bom Pastor
1372638035620000337,41.149665,-8.67375,45,Passeio Alegre
1372638137620000325,41.178366,-8.658351,31,H. Magalhães Lemos
1372638151620000231,41.15826,-8.606772,63,Santa Maria
1372638156620000451,41.152059,-8.627139,30,Galiza
1372638158620000620,41.160141,-8.605466999999999,38,Marquês
1372638161620000423,41.16114,-8.621064,51,Ramada Alta
1372638165620000435,41.144184,-8.642078999999999,43,Ouro
1372638266620000611,41.190984,-8.654634,47,Pereiró
1372638303620000112,41.162436,-8.587143,28,Dragão
1372638342620000011,41.18481,-8.581959,6,Areosa
1372638361620000154,41.16457800000001,-8.645436,35,Lago
1372638451620000621,41.19331500000001,-8.568558,6,Areosa
1372638481620000403,41.142672,-8.641566000000001,43,Ouro
1372638502620000320,41.15592,-8.60247,19,Carvalheiras
1372638504620000600,41.146443,-8.617671000000001,25,Cordoaria
1372638513620000473,41.182182,-8.601057,33,H. São João
1372638560620000308,41.189499,-8.576586,6,Areosa
1372638595620000233,41.168295,-8.632736999999999,17,Carcereira
1372638616620000672,41.135913,-8.563455000000001,8,Azevedo
1372638641620000520,41.146866,-8.597655,61,Vinte e Quatro de Agosto
1372638700620000665,41.254209,-8.653617,46,Pereira de Melo
1372638793620000571,41.142636,-8.61552,34,Infante
1372638851620000406,41.146263,-8.607051,9,Batalha
1372638902620000372,41.15961,-8.604603,38,Marquês
1372639092620000233,41.168232,-8.6328,17,Carcereira
1372639096620000231,41.203188,-8.693028,22,Castelo do Queijo
1372639135620000570,41.181714,-8.662554,31,H. Magalhães Lemos
1372639181620000089,41.1786,-8.647911,46,Pereira de Melo
1372639212620000497,41.156694,-8.648082,36,Lordelo
1372639241620000060,41.189877,-8.702928,22,Castelo do Queijo
1372639358620000463,41.158665,-8.678295,41,Nevogilde
1372639364620000015,41.174514,-8.62623,16,Campismo
1372639380620000201,41.180724,-8.626284,16,Campismo
1372639441620000012,41.201361,-8.648955,46,Pereira de Melo
1372639475620000199,41.137272,-8.556534,8,Azevedo
1372639521620000403,41.163237,-8.583957,28,Dragão
1372639535620000161,41.097357,-8.58825,15,Campanhã
1372639536620000570,41.163426,-8.662923,37,Marechal
1372639558620000005,41.163147,-8.614854,11,Bom Pastor
1372639635620000178,41.166891,-8.613315,11,Bom Pastor
1372639848620000424,41.096412,-8.587044,15,Campanhã
1372639857620000089,41.151915,-8.605017,19,Carvalheiras
1372639871620000653,41.168187,-8.59194,24,Conde Ferreira
1372639875620000009,41.147199,-8.620371,18,Carregal
1372639960620000309,41.167899,-8.579763,26,Corujeira
1372639973620000686,41.14548900000001,-8.607465,9,Batalha
1372640068620000616,41.15107800000001,-8.614818,60,Trindade
1372640078620000333,41.1507,-8.594577000000001,61,Vinte e Quatro de Agosto
1372640130620000010,41.164209,-8.623116,51,Ramada Alta
1372640331620000496,41.180949,-8.640360000000001,62,Viso
1372640338620000423,41.142744,-8.613764999999999,53,Ribeira
1372640356620000657,41.158638,-8.637129,59,Tenente Valadim
1372640399620000320,41.131953,-8.641998,43,Ouro
1372640408620000013,41.18535900000001,-8.486811,6,Areosa
1372640499620000309,41.195709,-8.541477,6,Areosa
1372640499620000596,41.150439,-8.611596,14,Câmara
1372640550620000233,41.164155,-8.622963,51,Ramada Alta
1372640555620000235,41.146839,-8.619993,18,Carregal
1372640577620000632,41.141619,-8.646516,43,Ouro
1372640610620000161,41.096745,-8.574111,8,Azevedo
1372640943620000596,41.162013,-8.605845,58,Terço
1372641041620000481,41.149278,-8.602794,61,Vinte e Quatro de Agosto
1372641048620000560,41.154507,-8.560413,8,Azevedo
1372641068620000178,41.124366,-8.616303,34,Infante
1372641088620000574,41.153733,-8.566137,8,Azevedo
1372641149620000235,41.148783,-8.58618,15,Campanhã
1372641197620000653,41.149998,-8.614773,14,Câmara
1372641278620000009,41.183982,-8.610696,5,Amial
1372641284620000648,41.171364,-8.588376,24,Conde Ferreira
1372641297620000320,41.129505,-8.549334,8,Azevedo
1372641328620000005,41.175639,-8.610039,1,Agra
1372641403620000424,41.143491,-8.632665,4,Alfândega
1372641453620000010,41.157576,-8.60994,63,Santa Maria
1372641454620000195,41.180085,-8.624979,16,Campismo
1372641600620000612,41.164884,-8.580492,28,Dragão
1372641690620000372,41.16474,-8.583174,28,Dragão
1372641721620000686,41.188608,-8.547372,6,Areosa
1372641724620000435,41.140341,-8.613072,53,Ribeira
1372641742620000657,41.149332,-8.654067,43,Ouro
